powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim,powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,num_train_batches_nn,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2,powermode_nn_50,infer_time_nn_50,bs_nn_50,interleaved_power_nn_50,num_train_batches_nn_50,powermode_random_50,infer_time_random_50,bs_random_50,interleaved_power_random_50,num_train_batches_random_50
,,,,11,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
,,,,12,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
,,,,13,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
,,,,14,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
4_422400_114750000_665600000,117.0872802734375,4.0,14.751,15,0.0,22.0,0.6,30.0,4_422400_114750000_665600000,117.0872802734375,4.0,14.751,0.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
8_1958400_114750000_665600000,69.67444610595703,4.0,15.754,16,0.0,19.0,0.6,30.0,12_1958400_114750000_665600000,28.42614459991455,1.0,15.954,0.0,1.0,12_1651200_114750000_665600000,157.87041473388672,4.0,15.754,-1.0,12_1651200_114750000_665600000,28.95889568328857,1.0,15.754,0.0,False,0.1578704147338867,0.29120374806722,4.736112442016601,,,,,,8_1344000_114750000_665600000,32.14587116241455,1.0,15.254,0.0
8_1344000_114750000_3199000000,68.0332145690918,4.0,16.972,17,0.0,21.0,0.6,30.0,12_1958400_114750000_2133000000,27.314640045166016,1.0,16.958,0.0,1.0,12_1651200_114750000_665600000,157.87041473388672,4.0,15.754,-1.0,8_2201600_114750000_665600000,28.61596775054932,1.0,16.354,0.0,False,0.1578704147338867,0.29120374806722,4.736112442016601,,,,,,8_1344000_114750000_2133000000,30.24022388458252,1.0,16.159,0.0
8_1958400_114750000_3199000000,66.95753860473633,4.0,17.373,18,0.0,19.0,0.6,30.0,4_1958400_114750000_3199000000,26.89072036743164,1.0,17.3715,0.0,1.0,4_1651200_318750000_665600000,76.47870254516602,4.0,18.263,0.0,4_2201600_114750000_3199000000,27.018320083618164,1.0,17.768,0.0,True,0.076478702545166,0.2098120358784993,2.2943610763549804,,,,,,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
8_2201600_114750000_3199000000,66.91814422607422,4.0,18.27,19,0.0,18.0,0.6,30.0,4_1958400_318750000_665600000,25.683088302612305,1.0,18.674,0.0,1.0,4_1344000_522750000_665600000,65.53413009643555,4.0,18.975,0.0,4_2201600_114750000_3199000000,27.018320083618164,1.0,17.768,0.0,True,0.0655341300964355,0.1988674634297688,1.9660239028930664,,,,,,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
8_2201600_114750000_3199000000,66.91814422607422,4.0,18.27,20,0.0,18.0,0.6,30.0,8_2201600_318750000_665600000,22.671263694763184,1.0,19.475,0.0,1.0,12_1036800_522750000_665600000,65.20588684082031,4.0,19.376,0.0,12_1958400_318750000_665600000,24.57870388031006,1.0,19.0185,0.0,True,0.0652058868408203,0.1985392201741536,1.9561766052246088,,,,,,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
8_1344000_726750000_665600000,38.79607963562012,4.0,20.575,21,0.0,16.0,0.6,30.0,12_2201600_318750000_665600000,21.15015983581543,1.0,20.273,0.0,1.0,4_1651200_726750000_665600000,60.69894409179688,4.0,20.575,0.0,12_1958400_318750000_665600000,24.57870388031006,1.0,19.0185,0.0,True,0.0606989440917968,0.1940322774251302,1.8209683227539064,,,,,,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
8_1344000_318750000_2133000000,36.481889724731445,4.0,21.08,22,0.0,15.0,0.6,30.0,12_2201600_318750000_665600000,21.15015983581543,1.0,20.273,0.0,1.0,8_1958400_726750000_665600000,59.49233436584473,4.0,21.478,0.0,12_1958400_318750000_2133000000,21.44812774658203,1.0,21.885,0.0,True,0.0594923343658447,0.192825667699178,1.7847700309753418,,,,,,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
8_1344000_318750000_2133000000,36.481889724731445,4.0,21.08,23,0.0,15.0,0.6,30.0,8_2201600_318750000_2133000000,20.07536029815674,1.0,22.382,0.0,1.0,12_2201600_318750000_2133000000,20.58854389190674,1.0,23.0845,0.0,12_1958400_318750000_2133000000,21.44812774658203,1.0,21.885,0.0,True,0.0205885438919067,0.05392187722524,0.6176563167572021,,,,,,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
8_1344000_318750000_2133000000,36.481889724731445,4.0,21.08,24,0.0,15.0,0.6,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,23.893,0.0,1.0,12_2201600_318750000_2133000000,20.58854389190674,1.0,23.0845,0.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,23.0845,0.0,True,0.0205885438919067,0.05392187722524,0.6176563167572021,,,,,,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
8_1344000_522750000_2133000000,57.09987258911133,16.0,24.59,25,4.0,14.0,0.6,30.0,8_1344000_522750000_2133000000,57.09987258911133,16.0,24.59,4.0,1.0,8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,1.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,23.0845,0.0,False,0.0322234725952148,0.1655568059285481,0.9667041778564454,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
8_1344000_522750000_2133000000,57.09987258911133,16.0,24.59,26,4.0,14.0,0.6,30.0,8_1651200_522750000_2133000000,55.39355278015137,16.0,25.143,4.0,1.0,8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,1.0,8_1651200_522750000_2133000000,55.39355278015137,16.0,25.143,4.0,False,0.0322234725952148,0.1655568059285481,0.9667041778564454,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
8_1344000_522750000_3199000000,53.92432022094727,16.0,26.384,27,4.0,13.0,0.6,30.0,12_1344000_522750000_3199000000,53.525808334350586,16.0,26.78,4.0,1.0,8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,1.0,8_1651200_522750000_2133000000,55.39355278015137,16.0,25.143,4.0,False,0.0322234725952148,0.1655568059285481,0.9667041778564454,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1958400_522750000_3199000000,52.76372909545898,16.0,27.682,28,4.0,13.0,0.6,30.0,12_1651200_522750000_3199000000,52.39353561401367,16.0,27.281,4.0,1.0,8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,1.0,12_1958400_522750000_3199000000,52.76372909545898,16.0,27.682,4.0,True,0.0322234725952148,0.1655568059285481,0.9667041778564454,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
