powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,29.0,0.0,0.6,30.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,30.0,0.0,0.6,30.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,31.0,0.0,0.6,30.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,32.0,0.0,0.6,30.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,33.0,0.0,0.6,30.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,34.0,0.0,0.6,30.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,35.0,0.0,0.6,30.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,36.0,0.0,0.6,30.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,37.0,0.0,0.6,30.0,4_1958400_930750000_3199000000,61.57320022583008,16.0,36.906,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,38.0,0.0,0.6,30.0,4_1958400_930750000_3199000000,61.57320022583008,16.0,36.906,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,39.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,40.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,41.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,42.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,43.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,44.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,45.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,46.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,47.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,48.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,49.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,50.0,0.0,0.6,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.020238637924194336
,,,,10.0,,0.7,30.0,,,,,,True,
,,,,11.0,,0.7,30.0,,,,,,True,
,,,,12.0,,0.7,30.0,,,,,,True,
,,,,13.0,,0.7,30.0,,,,,,True,
,,,,14.0,,0.7,30.0,,,,,,True,
,,,,15.0,,0.7,30.0,,,,,,True,
,,,,16.0,,0.7,30.0,4_1651200_318750000_665600000,27.36411190032959,1.0,15.756,0.0,True,
4_1651200_318750000_665600000,102.9282808303833,4.0,16.757,17.0,0.0,0.7,30.0,4_1651200_726750000_665600000,27.35188770294189,1.0,16.558,0.0,True,0.1029282808303833
12_1036800_522750000_665600000,93.2842493057251,4.0,17.168,18.0,0.0,0.7,30.0,8_1958400_318750000_2133000000,21.16374397277832,1.0,17.918,0.0,True,0.0932842493057251
4_729600_726750000_2133000000,75.40667057037354,4.0,21.764,19.0,0.0,0.7,30.0,4_1958400_522750000_2133000000,19.679967880249023,1.0,18.3605,0.0,False,0.07540667057037354
4_729600_726750000_2133000000,75.40667057037354,4.0,21.764,20.0,0.0,0.7,30.0,4_1958400_522750000_2133000000,19.679967880249023,1.0,18.3605,0.0,False,0.07540667057037354
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,21.0,0.0,0.7,30.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,20.665,0.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,22.0,0.0,0.7,30.0,12_2201600_522750000_3199000000,16.944543838500977,1.0,21.021,0.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,23.0,0.0,0.7,30.0,8_1958400_318750000_2133000000,152.6523666381836,16.0,22.082,1.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,24.0,0.0,0.7,30.0,8_1651200_318750000_3199000000,150.8775863647461,16.0,23.287,1.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,25.0,0.0,0.7,30.0,4_1958400_522750000_2133000000,100.39737701416016,16.0,24.6415,1.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,26.0,0.0,0.7,30.0,4_1958400_522750000_2133000000,100.39737701416016,16.0,24.6415,1.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,27.0,0.0,0.7,30.0,12_1036800_522750000_3199000000,100.13971328735352,16.0,26.804,1.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,28.0,0.0,0.7,30.0,12_1036800_726750000_2133000000,86.18309020996094,16.0,27.9005,1.0,True,0.020238637924194336
8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,29.0,0.0,0.7,30.0,8_1651200_726750000_2133000000,83.6908950805664,16.0,28.601,1.0,True,0.020238637924194336
12_2201600_726750000_3199000000,145.58565616607666,16.0,30.594,30.0,1.0,0.7,30.0,8_1651200_726750000_2133000000,83.6908950805664,16.0,28.601,1.0,True,0.14558565616607666
12_2201600_726750000_3199000000,145.58565616607666,16.0,30.594,31.0,1.0,0.7,30.0,8_1651200_726750000_2133000000,83.6908950805664,16.0,28.601,1.0,True,0.14558565616607666
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,32.0,1.0,0.7,30.0,12_1344000_726750000_3199000000,74.22937393188477,16.0,31.598,1.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,33.0,1.0,0.7,30.0,12_1344000_726750000_3199000000,74.22937393188477,16.0,31.598,1.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,34.0,1.0,0.7,30.0,12_1344000_726750000_3199000000,74.22937393188477,16.0,31.598,1.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,35.0,1.0,0.7,30.0,4_2201600_930750000_2133000000,78.03086471557617,16.0,34.209,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,36.0,1.0,0.7,30.0,12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,37.0,1.0,0.7,30.0,4_1958400_930750000_3199000000,61.57320022583008,16.0,36.906,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,38.0,1.0,0.7,30.0,4_1958400_930750000_3199000000,61.57320022583008,16.0,36.906,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,39.0,1.0,0.7,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,40.0,1.0,0.7,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,41.0,1.0,0.7,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,42.0,1.0,0.7,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,43.0,1.0,0.7,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,44.0,1.0,0.7,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,45.0,1.0,0.7,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,46.0,1.0,0.7,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,47.0,1.0,0.7,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,48.0,1.0,0.7,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.1270071268081665
8_1958400_930750000_3199000000,127.0071268081665,16.0,32.104,49.0,1.0,0.7,30.0,8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,2.0,True,0.1270071268081665
