powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,28.0,4.0,0.8,30.0,12_1958400_522750000_3199000000,52.76372909545898,16.0,27.682,4.0,True,0.08618309020996094,0.6195164235432943,2.585492706298828
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,29.0,4.0,0.8,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.08618309020996094,0.6195164235432943,2.585492706298828
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,30.0,4.0,0.8,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.08618309020996094,0.6195164235432943,2.585492706298828
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,31.0,5.0,0.8,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,32.0,5.0,0.8,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,33.0,5.0,0.8,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,34.0,5.0,0.8,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,35.0,5.0,0.8,30.0,12_2201600_726750000_3199000000,40.10158348083496,16.0,34.497,5.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,36.0,5.0,0.8,30.0,4_1958400_930750000_3199000000,59.738576889038086,16.0,35.602,6.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,37.0,5.0,0.8,30.0,4_1958400_930750000_3199000000,59.738576889038086,16.0,35.602,6.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,38.0,5.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,39.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,40.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,41.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,42.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,43.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,44.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,45.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,46.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,47.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,48.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,49.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,50.0,6.0,0.8,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
,,,,10.0,,0.9,30.0,,,,,,True,,,
,,,,11.0,,0.9,30.0,,,,,,True,,,
,,,,12.0,,0.9,30.0,,,,,,True,,,
,,,,13.0,,0.9,30.0,,,,,,True,,,
,,,,14.0,,0.9,30.0,,,,,,True,,,
,,,,15.0,,0.9,30.0,,,,,,True,,,
12_1651200_114750000_665600000,157.87041473388672,4.0,15.754,16.0,-1.0,0.9,30.0,12_1651200_114750000_665600000,28.95889568328857,1.0,15.754,0.0,False,0.15787041473388672,0.29120374806722005,4.736112442016601
12_1651200_114750000_665600000,157.87041473388672,4.0,15.754,17.0,-1.0,0.9,30.0,8_2201600_114750000_665600000,28.61596775054932,1.0,16.354,0.0,False,0.15787041473388672,0.29120374806722005,4.736112442016601
4_1651200_318750000_665600000,76.47870254516602,4.0,18.263,18.0,0.0,0.9,30.0,8_729600_318750000_665600000,119.2564811706543,16.0,17.768,1.0,True,0.07647870254516602,0.20981203587849934,2.2943610763549804
4_1344000_522750000_665600000,197.73955535888672,16.0,18.975,19.0,1.0,0.9,30.0,4_1651200_318750000_665600000,115.1471824645996,16.0,18.263,1.0,True,0.1977395553588867,0.73107288869222,5.932186660766601
4_1344000_522750000_665600000,197.73955535888672,16.0,18.975,20.0,1.0,0.9,30.0,12_1036800_522750000_665600000,103.33187103271484,16.0,19.376,2.0,True,0.1977395553588867,0.73107288869222,5.932186660766601
4_1651200_726750000_665600000,189.757438659668,16.0,20.575,21.0,1.0,0.9,30.0,12_1651200_726750000_665600000,94.66241455078124,16.0,20.579,2.0,True,0.189757438659668,0.7230907719930013,5.69272315979004
4_729600_726750000_2133000000,119.46371078491212,16.0,21.062,22.0,2.0,0.9,30.0,12_1958400_318750000_2133000000,80.77505493164062,16.0,21.885,2.0,True,0.11946371078491212,0.6527970441182455,3.5839113235473636
4_729600_726750000_2133000000,119.46371078491212,16.0,21.062,23.0,2.0,0.9,30.0,8_422400_726750000_2133000000,103.28473281860352,16.0,22.567,3.0,True,0.11946371078491212,0.6527970441182455,3.5839113235473636
4_729600_726750000_2133000000,119.46371078491212,16.0,21.062,24.0,2.0,0.9,30.0,8_729600_522750000_2133000000,83.8746566772461,16.0,23.988,3.0,True,0.11946371078491212,0.6527970441182455,3.5839113235473636
4_729600_726750000_2133000000,119.46371078491212,16.0,21.062,25.0,2.0,0.9,30.0,8_729600_522750000_2133000000,83.8746566772461,16.0,23.988,3.0,True,0.11946371078491212,0.6527970441182455,3.5839113235473636
4_729600_726750000_2133000000,119.46371078491212,16.0,21.062,26.0,2.0,0.9,30.0,8_1651200_522750000_2133000000,55.39355278015137,16.0,25.143,4.0,True,0.11946371078491212,0.6527970441182455,3.5839113235473636
12_1036800_522750000_3199000000,100.13971328735352,16.0,26.804,27.0,3.0,0.9,30.0,8_1651200_522750000_2133000000,55.39355278015137,16.0,25.143,4.0,True,0.10013971328735352,0.6334730466206868,3.0041913986206055
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,28.0,4.0,0.9,30.0,12_1958400_522750000_3199000000,52.76372909545898,16.0,27.682,4.0,True,0.08618309020996094,0.6195164235432943,2.585492706298828
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,29.0,4.0,0.9,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.08618309020996094,0.6195164235432943,2.585492706298828
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,30.0,4.0,0.9,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.08618309020996094,0.6195164235432943,2.585492706298828
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,31.0,5.0,0.9,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,32.0,5.0,0.9,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,33.0,5.0,0.9,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,34.0,5.0,0.9,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,35.0,5.0,0.9,30.0,12_2201600_726750000_3199000000,40.10158348083496,16.0,34.497,5.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,36.0,5.0,0.9,30.0,4_1958400_930750000_3199000000,59.738576889038086,16.0,35.602,6.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,37.0,5.0,0.9,30.0,4_1958400_930750000_3199000000,59.738576889038086,16.0,35.602,6.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,38.0,5.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,39.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,40.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,41.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,42.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,43.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,44.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,45.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,46.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,47.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,48.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,49.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,50.0,6.0,0.9,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
,,,,10.0,,1.0,30.0,,,,,,True,,,
,,,,11.0,,1.0,30.0,,,,,,True,,,
,,,,12.0,,1.0,30.0,,,,,,True,,,
,,,,13.0,,1.0,30.0,,,,,,True,,,
,,,,14.0,,1.0,30.0,,,,,,True,,,
,,,,15.0,,1.0,30.0,,,,,,True,,,
12_1651200_114750000_665600000,157.87041473388672,4.0,15.754,16.0,-1.0,1.0,30.0,12_1651200_114750000_665600000,28.95889568328857,1.0,15.754,0.0,False,0.15787041473388672,0.29120374806722005,4.736112442016601
12_1651200_114750000_665600000,157.87041473388672,4.0,15.754,17.0,-1.0,1.0,30.0,8_2201600_114750000_665600000,28.61596775054932,1.0,16.354,0.0,False,0.15787041473388672,0.29120374806722005,4.736112442016601
4_1651200_318750000_665600000,76.47870254516602,4.0,18.263,18.0,0.0,1.0,30.0,8_729600_318750000_665600000,119.2564811706543,16.0,17.768,1.0,True,0.07647870254516602,0.20981203587849934,2.2943610763549804
4_1344000_522750000_665600000,197.73955535888672,16.0,18.975,19.0,1.0,1.0,30.0,4_1651200_318750000_665600000,115.1471824645996,16.0,18.263,1.0,True,0.1977395553588867,0.73107288869222,5.932186660766601
4_1344000_522750000_665600000,197.73955535888672,16.0,18.975,20.0,1.0,1.0,30.0,12_1036800_522750000_665600000,103.33187103271484,16.0,19.376,2.0,True,0.1977395553588867,0.73107288869222,5.932186660766601
4_1651200_726750000_665600000,189.757438659668,16.0,20.575,21.0,1.0,1.0,30.0,12_1651200_726750000_665600000,94.66241455078124,16.0,20.579,2.0,True,0.189757438659668,0.7230907719930013,5.69272315979004
4_729600_726750000_2133000000,119.46371078491212,16.0,21.062,22.0,2.0,1.0,30.0,12_1958400_318750000_2133000000,80.77505493164062,16.0,21.885,2.0,True,0.11946371078491212,0.6527970441182455,3.5839113235473636
4_729600_726750000_2133000000,119.46371078491212,16.0,21.062,23.0,2.0,1.0,30.0,8_422400_726750000_2133000000,103.28473281860352,16.0,22.567,3.0,True,0.11946371078491212,0.6527970441182455,3.5839113235473636
4_729600_726750000_2133000000,119.46371078491212,16.0,21.062,24.0,2.0,1.0,30.0,8_729600_522750000_2133000000,83.8746566772461,16.0,23.988,3.0,True,0.11946371078491212,0.6527970441182455,3.5839113235473636
4_729600_726750000_2133000000,119.46371078491212,16.0,21.062,25.0,2.0,1.0,30.0,8_729600_522750000_2133000000,83.8746566772461,16.0,23.988,3.0,True,0.11946371078491212,0.6527970441182455,3.5839113235473636
4_729600_726750000_2133000000,119.46371078491212,16.0,21.062,26.0,2.0,1.0,30.0,8_1651200_522750000_2133000000,55.39355278015137,16.0,25.143,4.0,True,0.11946371078491212,0.6527970441182455,3.5839113235473636
12_1036800_522750000_3199000000,100.13971328735352,16.0,26.804,27.0,3.0,1.0,30.0,8_1651200_522750000_2133000000,55.39355278015137,16.0,25.143,4.0,True,0.10013971328735352,0.6334730466206868,3.0041913986206055
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,28.0,4.0,1.0,30.0,12_1958400_522750000_3199000000,52.76372909545898,16.0,27.682,4.0,True,0.08618309020996094,0.6195164235432943,2.585492706298828
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,29.0,4.0,1.0,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.08618309020996094,0.6195164235432943,2.585492706298828
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,30.0,4.0,1.0,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.08618309020996094,0.6195164235432943,2.585492706298828
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,31.0,5.0,1.0,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,32.0,5.0,1.0,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,33.0,5.0,1.0,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
4_1651200_726750000_3199000000,76.41019058227539,16.0,31.39,34.0,5.0,1.0,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,28.186,5.0,True,0.0764101905822754,0.6097435239156087,2.292305717468262
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,35.0,5.0,1.0,30.0,12_2201600_726750000_3199000000,40.10158348083496,16.0,34.497,5.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,36.0,5.0,1.0,30.0,4_1958400_930750000_3199000000,59.738576889038086,16.0,35.602,6.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,37.0,5.0,1.0,30.0,4_1958400_930750000_3199000000,59.738576889038086,16.0,35.602,6.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
12_2201600_726750000_3199000000,73.51456069946289,16.0,35.203,38.0,5.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.0735145606994629,0.6068478940327963,2.205436820983887
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,39.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,40.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,41.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,42.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,43.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,44.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,45.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,46.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,47.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,48.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,49.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
8_1958400_930750000_3199000000,60.63758277893066,16.0,38.602,50.0,6.0,1.0,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,7.0,True,0.06063758277893066,0.5939709161122639,1.8191274833679199
,,,,10.0,,1.1,30.0,,,,,,True,,,
,,,,11.0,,1.1,30.0,,,,,,True,,,
,,,,12.0,,1.1,30.0,,,,,,True,,,
,,,,13.0,,1.1,30.0,,,,,,True,,,
,,,,14.0,,1.1,30.0,,,,,,True,,,
