powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim,powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,num_train_batches_nn,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2,powermode_nn_50,infer_time_nn_50,bs_nn_50,interleaved_power_nn_50,num_train_batches_nn_50,powermode_random_50,infer_time_random_50,bs_random_50,interleaved_power_random_50,num_train_batches_random_50
12_2201600_114750000_3199000000,547.2250366210938,1.0,18.569,19,0.0,15.0,2.5,1.0,4_1651200_318750000_665600000,261.2362823486328,1.0,18.775,3.0,1.0,4_1651200_318750000_665600000,27.36411190032959,1.0,18.263,4.0,4_1651200_318750000_665600000,261.2362823486328,1.0,18.775,3.0,True,0.0273641119003295,1.0273641119003296,0.0273641119003295,,,,,,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
12_2201600_114750000_3199000000,547.2250366210938,1.0,18.569,20,0.0,15.0,2.5,1.0,8_422400_318750000_2133000000,231.3048324584961,1.0,19.98,3.0,1.0,4_1651200_318750000_665600000,27.36411190032959,1.0,18.263,4.0,4_1344000_522750000_665600000,238.12332916259768,1.0,19.477,3.0,True,0.0273641119003295,1.0273641119003296,0.0273641119003295,,,,,,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
8_1344000_726750000_665600000,230.4893264770508,1.0,20.679,21,3.0,15.0,2.5,1.0,12_422400_318750000_2133000000,222.46195220947263,1.0,20.4835,4.0,1.0,4_1651200_726750000_665600000,27.35188770294189,1.0,20.575,4.0,4_1651200_726750000_665600000,229.46017456054688,1.0,20.583,3.0,True,0.0273518877029418,1.027351887702942,0.0273518877029418,,,,,,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
8_1344000_318750000_2133000000,208.4920959472656,1.0,21.134,22,4.0,16.0,2.5,1.0,12_1651200_318750000_2133000000,202.4569091796875,1.0,21.577,4.0,1.0,4_729600_726750000_2133000000,42.69966506958008,1.0,21.062,5.0,8_1958400_726750000_665600000,229.00479888916016,1.0,21.478,3.0,True,0.04269966506958,1.04269966506958,0.04269966506958,,,,,,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
8_1344000_318750000_2133000000,208.4920959472656,1.0,21.134,23,4.0,16.0,2.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0,1.0,12_2201600_318750000_2133000000,20.58854389190674,1.0,23.0845,5.0,12_1958400_318750000_2133000000,202.1840667724609,1.0,22.087,4.0,True,0.0205885438919067,1.020588543891907,0.0205885438919067,,,,,,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
8_422400_726750000_2133000000,157.4422149658203,1.0,23.589,24,6.0,16.0,2.5,1.0,8_729600_522750000_2133000000,149.07259368896484,1.0,23.988,7.0,1.0,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,8_729600_522750000_2133000000,149.07259368896484,1.0,23.988,7.0,False,0.0313423042297363,1.0313423042297365,0.0313423042297363,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
8_1344000_522750000_2133000000,134.05374145507812,1.0,24.944,25,7.0,16.0,2.5,1.0,8_1344000_522750000_2133000000,134.05374145507812,1.0,24.944,7.0,1.0,8_1651200_726750000_2133000000,21.710463523864743,1.0,28.186,10.0,8_729600_522750000_2133000000,149.07259368896484,1.0,23.988,7.0,False,0.0217104635238647,1.0217104635238647,0.0217104635238647,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
8_1344000_522750000_2133000000,134.05374145507812,1.0,24.944,26,7.0,16.0,2.5,1.0,12_1958400_522750000_2133000000,127.94312286376952,1.0,25.994,7.0,1.0,8_1651200_726750000_2133000000,21.710463523864743,1.0,28.186,10.0,8_1651200_522750000_2133000000,134.848876953125,1.0,25.143,7.0,False,0.0217104635238647,1.0217104635238647,0.0217104635238647,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
8_729600_522750000_3199000000,129.2396469116211,1.0,26.799,27,7.0,16.0,2.5,1.0,12_1958400_522750000_2133000000,127.94312286376952,1.0,25.994,7.0,1.0,8_1651200_726750000_2133000000,21.710463523864743,1.0,28.186,10.0,4_1344000_522750000_3199000000,129.46988677978516,1.0,26.9,7.0,False,0.0217104635238647,1.0217104635238647,0.0217104635238647,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
8_1344000_522750000_3199000000,129.9143524169922,1.0,27.0,28,7.0,16.0,2.5,1.0,12_729600_726750000_2133000000,114.05279922485352,1.0,27.392,8.0,1.0,8_1651200_726750000_2133000000,21.710463523864743,1.0,28.186,10.0,4_1344000_522750000_3199000000,129.46988677978516,1.0,26.9,7.0,True,0.0217104635238647,1.0217104635238647,0.0217104635238647,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
8_1344000_522750000_3199000000,129.9143524169922,1.0,27.0,29,7.0,16.0,2.5,1.0,8_729600_726750000_2133000000,109.61191940307616,1.0,28.201,8.0,1.0,8_1651200_726750000_2133000000,21.710463523864743,1.0,28.186,10.0,12_1958400_522750000_3199000000,129.303955078125,1.0,28.303,7.0,True,0.0217104635238647,1.0217104635238647,0.0217104635238647,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1344000_726750000_2133000000,105.49894714355467,1.0,29.4045,30,9.0,15.0,2.5,1.0,8_1036800_726750000_2133000000,103.02932739257812,1.0,29.706,9.0,1.0,4_1651200_726750000_3199000000,22.781519889831543,1.0,31.39,11.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0,False,0.0227815198898315,1.0227815198898316,0.0227815198898315,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1344000_726750000_2133000000,105.49894714355467,1.0,29.4045,31,9.0,15.0,2.5,1.0,8_1036800_726750000_3199000000,102.25089645385742,1.0,30.4895,10.0,1.0,4_1651200_726750000_3199000000,22.781519889831543,1.0,31.39,11.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0,True,0.0227815198898315,1.0227815198898316,0.0227815198898315,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_726750000_3199000000,103.69643020629884,1.0,31.499,32,10.0,15.0,2.5,1.0,12_729600_726750000_3199000000,97.3949737548828,1.0,31.398,10.0,1.0,4_1651200_726750000_3199000000,22.781519889831543,1.0,31.39,11.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0,True,0.0227815198898315,1.0227815198898316,0.0227815198898315,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_726750000_3199000000,103.69643020629884,1.0,31.499,33,10.0,15.0,2.5,1.0,12_1036800_930750000_2133000000,91.86831665039062,1.0,32.6165,10.0,1.0,4_1651200_726750000_3199000000,22.781519889831543,1.0,31.39,11.0,4_1651200_726750000_3199000000,98.0902214050293,1.0,32.201,10.0,True,0.0227815198898315,1.0227815198898316,0.0227815198898315,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_930750000_2133000000,92.20774459838869,1.0,33.215,34,10.0,15.0,2.5,1.0,12_729600_930750000_3199000000,104.26548767089844,1.0,33.403,11.0,1.0,4_1651200_726750000_3199000000,22.781519889831543,1.0,31.39,11.0,4_1651200_726750000_3199000000,98.0902214050293,1.0,32.201,10.0,True,0.0227815198898315,1.0227815198898316,0.0227815198898315,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_930750000_2133000000,92.20774459838869,1.0,33.215,35,10.0,15.0,2.5,1.0,8_729600_1134750000_3199000000,96.42403030395508,1.0,34.891,11.0,1.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,34.497,11.0,12_2201600_726750000_3199000000,95.03231811523438,1.0,34.757,10.0,True,0.016437232017517,1.016437232017517,0.016437232017517,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_930750000_2133000000,92.20774459838869,1.0,33.215,36,10.0,15.0,2.5,1.0,8_729600_1134750000_3199000000,96.42403030395508,1.0,34.891,11.0,1.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,34.497,11.0,12_2201600_726750000_3199000000,95.03231811523438,1.0,34.757,10.0,True,0.016437232017517,1.016437232017517,0.016437232017517,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_930750000_3199000000,84.47011184692383,1.0,36.915,37,12.0,15.0,2.5,1.0,8_1036800_930750000_3199000000,84.47011184692383,1.0,36.915,12.0,1.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,34.497,11.0,12_2201600_726750000_3199000000,95.03231811523438,1.0,34.757,10.0,True,0.016437232017517,1.016437232017517,0.016437232017517,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_930750000_3199000000,86.46763229370117,1.0,37.006,38,12.0,15.0,2.5,1.0,12_1036800_930750000_3199000000,78.41203308105469,1.0,37.909,12.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,4_1958400_930750000_3199000000,80.02644729614258,1.0,37.654,12.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_930750000_3199000000,86.46763229370117,1.0,37.006,39,12.0,15.0,2.5,1.0,12_1036800_930750000_3199000000,78.41203308105469,1.0,37.909,12.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,4_1958400_930750000_3199000000,80.02644729614258,1.0,37.654,12.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1134750000_2133000000,83.29584121704102,1.0,39.025,40,11.0,13.0,2.5,1.0,12_2201600_930750000_3199000000,78.66961669921875,1.0,39.9625,13.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,4_1958400_930750000_3199000000,80.02644729614258,1.0,37.654,12.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1134750000_2133000000,83.29584121704102,1.0,39.025,41,11.0,13.0,2.5,1.0,4_2201600_930750000_3199000000,76.92251205444336,1.0,40.3145,13.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1134750000_2133000000,83.29584121704102,1.0,39.025,42,11.0,13.0,2.5,1.0,8_2201600_930750000_3199000000,76.03071975708008,1.0,41.016,13.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1134750000_2133000000,83.29584121704102,1.0,39.025,43,11.0,13.0,2.5,1.0,8_2201600_930750000_3199000000,76.03071975708008,1.0,41.016,13.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1134750000_2133000000,83.29584121704102,1.0,39.025,44,11.0,13.0,2.5,1.0,8_2201600_930750000_3199000000,76.03071975708008,1.0,41.016,13.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1300500000_2133000000,79.74544143676758,1.0,44.538,45,12.0,14.0,2.5,1.0,12_1344000_1134750000_3199000000,70.60758209228516,1.0,44.826,14.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1300500000_2133000000,79.74544143676758,1.0,44.538,46,12.0,14.0,2.5,1.0,8_2201600_1134750000_3199000000,69.61409759521484,1.0,45.828,14.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,47,14.0,14.0,2.5,1.0,8_1958400_1134750000_3199000000,66.93260955810547,1.0,46.13,14.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,48,14.0,14.0,2.5,1.0,8_1958400_1134750000_3199000000,66.93260955810547,1.0,46.13,14.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,49,14.0,14.0,2.5,1.0,8_1651200_1300500000_3199000000,72.36491012573242,1.0,48.133,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,50,14.0,14.0,2.5,1.0,4_2201600_1300500000_3199000000,66.8863525390625,1.0,49.623,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,51,14.0,14.0,2.5,1.0,4_2201600_1300500000_3199000000,66.8863525390625,1.0,49.623,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,52,14.0,14.0,2.5,1.0,4_2201600_1300500000_3199000000,66.8863525390625,1.0,49.623,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,53,15.0,14.0,2.5,1.0,8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,54,15.0,14.0,2.5,1.0,8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,55,15.0,14.0,2.5,1.0,4_1958400_1300500000_3199000000,63.62516784667969,1.0,54.343,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,56,15.0,14.0,2.5,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,57,15.0,14.0,2.5,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,58,15.0,14.0,2.5,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,59,15.0,14.0,2.5,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,60,15.0,14.0,2.5,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
,,,,10,,15.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,15.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,15.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,,15.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,,15.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
4_422400_114750000_665600000,590.7732238769531,1.0,14.751,15,0.0,15.0,3.0,1.0,4_422400_114750000_665600000,590.7732238769531,1.0,14.751,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8_1958400_114750000_665600000,556.2896118164062,1.0,15.754,16,0.0,15.0,3.0,1.0,12_1958400_114750000_665600000,551.835693359375,1.0,15.954,0.0,1.0,12_1651200_114750000_665600000,51.187007904052734,1.0,15.754,2.0,12_1651200_114750000_665600000,554.6401062011719,1.0,15.754,0.0,True,0.0511870079040527,1.0511870079040528,0.0511870079040527,,,,,,8_1344000_114750000_665600000,557.4182434082031,1.0,15.353,0.0
8_1344000_114750000_2133000000,553.8834228515625,1.0,16.166,17,0.0,15.0,3.0,1.0,4_1958400_114750000_2133000000,548.9737854003906,1.0,16.557,0.0,1.0,12_1651200_114750000_665600000,51.187007904052734,1.0,15.754,2.0,12_1651200_114750000_665600000,554.6401062011719,1.0,15.754,0.0,True,0.0511870079040527,1.0511870079040528,0.0511870079040527,,,,,,8_1344000_114750000_2133000000,553.8834228515625,1.0,16.166,0.0
4_2201600_114750000_3199000000,549.0738220214844,1.0,17.768,18,0.0,15.0,3.0,1.0,4_422400_318750000_665600000,280.20025634765625,1.0,17.768,2.0,1.0,4_1651200_318750000_665600000,27.36411190032959,1.0,18.263,4.0,12_1036800_114750000_3199000000,548.587646484375,1.0,17.37,0.0,True,0.0273641119003295,1.0273641119003296,0.0273641119003295,,,,,,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
12_2201600_114750000_3199000000,547.2250366210938,1.0,18.569,19,0.0,15.0,3.0,1.0,4_1651200_318750000_665600000,261.2362823486328,1.0,18.775,3.0,1.0,4_1651200_318750000_665600000,27.36411190032959,1.0,18.263,4.0,4_1651200_318750000_665600000,261.2362823486328,1.0,18.775,3.0,True,0.0273641119003295,1.0273641119003296,0.0273641119003295,,,,,,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
