powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
8_1651200_1300500000_3199000000,34.398942947387695,16.0,46.474,48.0,8.0,12.0,0.7,30.0,8_1651200_1300500000_3199000000,34.398942947387695,16.0,46.474,8.0,1.0
8_1651200_1300500000_3199000000,34.398942947387695,16.0,46.474,49.0,8.0,12.0,0.7,30.0,12_1958400_1300500000_3199000000,29.82460880279541,16.0,48.7785,8.0,1.0
8_1958400_1300500000_3199000000,30.97694396972656,16.0,49.687,50.0,8.0,12.0,0.7,30.0,12_1958400_1300500000_3199000000,29.82460880279541,16.0,48.7785,8.0,1.0
,,,,10.0,,25.0,0.8,30.0,,,,,,1.0
,,,,11.0,,25.0,0.8,30.0,,,,,,1.0
,,,,12.0,,25.0,0.8,30.0,,,,,,1.0
,,,,13.0,,25.0,0.8,30.0,,,,,,1.0
,,,,14.0,,25.0,0.8,30.0,,,,,,1.0
4_422400_114750000_665600000,117.0872802734375,4.0,14.751,15.0,0.0,22.0,0.8,30.0,4_422400_114750000_665600000,117.0872802734375,4.0,14.751,0.0,1.0
8_1958400_114750000_665600000,210.4852294921875,16.0,15.852,16.0,0.0,12.0,0.8,30.0,12_1958400_114750000_665600000,28.42614459991455,1.0,15.954,0.0,1.0
8_1344000_114750000_3199000000,207.4351959228516,16.0,16.972,17.0,0.0,13.0,0.8,30.0,12_1958400_114750000_2133000000,27.314640045166016,1.0,16.958,0.0,1.0
8_1958400_114750000_3199000000,204.66015625,16.0,17.67,18.0,0.0,13.0,0.8,30.0,8_729600_318750000_665600000,119.2564811706543,16.0,17.768,1.0,1.0
8_2201600_114750000_3199000000,204.0008316040039,16.0,18.27,19.0,0.0,13.0,0.8,30.0,8_729600_522750000_665600000,106.69152069091795,16.0,18.975,1.0,1.0
8_2201600_114750000_3199000000,204.0008316040039,16.0,18.27,20.0,0.0,13.0,0.8,30.0,12_1651200_522750000_665600000,99.8465576171875,16.0,19.774,2.0,1.0
8_1344000_726750000_665600000,97.85276794433594,16.0,20.575,21.0,2.0,13.0,0.8,30.0,12_422400_522750000_2133000000,93.85391998291016,16.0,20.666,3.0,1.0
8_1344000_318750000_2133000000,83.26519775390625,16.0,21.08,22.0,2.0,13.0,0.8,30.0,12_422400_726750000_2133000000,90.78026962280272,16.0,21.665,3.0,1.0
8_422400_726750000_2133000000,103.28473281860352,16.0,22.567,23.0,3.0,13.0,0.8,30.0,12_422400_726750000_2133000000,90.78026962280272,16.0,21.665,3.0,1.0
8_422400_726750000_2133000000,103.28473281860352,16.0,22.567,24.0,3.0,13.0,0.8,30.0,8_729600_522750000_2133000000,83.8746566772461,16.0,23.988,3.0,1.0
8_1344000_522750000_2133000000,57.09987258911133,16.0,24.59,25.0,4.0,14.0,0.8,30.0,8_1344000_522750000_2133000000,57.09987258911133,16.0,24.59,4.0,1.0
