powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim,powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,num_train_batches_nn,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2,powermode_nn_50,infer_time_nn_50,bs_nn_50,interleaved_power_nn_50,num_train_batches_nn_50,powermode_random_50,infer_time_random_50,bs_random_50,interleaved_power_random_50,num_train_batches_random_50
8_2201600_1134750000_3199000000,20.898048400878903,4.0,39.1,49,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,19.83076858520508,4.0,43.839,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
8_2201600_1134750000_3199000000,20.898048400878903,4.0,39.1,50,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,19.83076858520508,4.0,43.839,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
,,,,10,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
,,,,11,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
,,,,12,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
,,,,13,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
,,,,14,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
8_1344000_114750000_665600000,70.80398178100586,4.0,14.55,15,0.0,18.0,0.6,30.0,8_1651200_114750000_665600000,28.968048095703125,1.0,14.851,0.0,1.0,,,,,,4_1036800_114750000_665600000,72.50836944580078,4.0,14.451,0.0,True,,,,,,,,,8_1344000_114750000_665600000,32.14587116241455,1.0,14.55,0.0
8_1344000_114750000_2133000000,68.49153900146484,4.0,15.454,16,0.0,17.0,0.6,30.0,8_1651200_114750000_2133000000,27.62977600097656,1.0,15.754,0.0,1.0,12_1651200_114750000_665600000,69.83606338500977,4.0,15.252,0.0,12_1651200_114750000_665600000,28.95889568328857,1.0,15.252,0.0,True,0.0698360633850097,0.2031693967183431,2.095081901550293,,,,,,8_1344000_114750000_2133000000,30.24022388458252,1.0,15.454,0.0
8_1651200_114750000_3199000000,67.21739196777344,4.0,16.557,17,0.0,18.0,0.6,30.0,4_1958400_114750000_3199000000,26.89072036743164,1.0,16.857,0.0,1.0,4_1651200_318750000_665600000,39.49179267883301,4.0,17.46,0.0,8_1651200_114750000_3199000000,27.06174373626709,1.0,16.557,0.0,True,0.039491792678833,0.1728251260121663,1.1847537803649903,,,,,,8_1344000_114750000_2133000000,30.24022388458252,1.0,15.454,0.0
8_2201600_114750000_3199000000,66.91814422607422,4.0,17.865,18,0.0,17.0,0.6,30.0,4_1958400_318750000_665600000,25.683088302612305,1.0,17.861,0.0,1.0,4_1651200_318750000_665600000,39.49179267883301,4.0,17.46,0.0,4_2201600_114750000_3199000000,27.018320083618164,1.0,17.358,0.0,True,0.039491792678833,0.1728251260121663,1.1847537803649903,,,,,,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.357,0.0
8_2201600_114750000_3199000000,66.91814422607422,4.0,17.865,19,0.0,17.0,0.6,30.0,8_1958400_318750000_665600000,24.26191997528076,1.0,18.261,0.0,1.0,12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,0.0,12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,0.0,True,0.02457870388031,0.0579120372136433,0.7373611164093017,,,,,,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.357,0.0
8_1344000_318750000_2133000000,36.481889724731445,4.0,19.18,20,0.0,13.0,0.6,30.0,12_2201600_318750000_665600000,21.15015983581543,1.0,19.465,0.0,1.0,12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,0.0,8_1958400_318750000_2133000000,22.191920280456543,1.0,19.979,0.0,True,0.02457870388031,0.0579120372136433,0.7373611164093017,,,,,,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.357,0.0
8_1344000_318750000_2133000000,36.481889724731445,4.0,19.18,21,0.0,15.0,0.6,30.0,8_2201600_318750000_2133000000,20.07536029815674,1.0,20.881,0.0,1.0,12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,0.0,12_1958400_318750000_2133000000,21.44812774658203,1.0,20.377,0.0,True,0.02457870388031,0.0579120372136433,0.7373611164093017,,,,,,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.357,0.0
8_1344000_522750000_2133000000,57.09987258911133,16.0,21.684,22,2.0,13.0,0.6,30.0,8_1344000_522750000_2133000000,57.09987258911133,16.0,21.684,2.0,1.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,0.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,0.0,True,0.0193475675582885,0.0526809008916219,0.5804270267486571,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.357,0.0
8_1344000_522750000_2133000000,57.09987258911133,16.0,21.684,23,2.0,13.0,0.6,30.0,8_1651200_522750000_2133000000,55.39355278015137,16.0,22.784,2.0,1.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,8_1651200_522750000_2133000000,55.39355278015137,16.0,22.784,2.0,True,0.0501147689819336,0.5834481023152669,1.503443069458008,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
8_1344000_522750000_3199000000,53.92432022094727,16.0,23.1765,24,2.0,13.0,0.6,30.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,1.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,True,0.0501147689819336,0.5834481023152669,1.503443069458008,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0
12_1344000_726750000_2133000000,47.60308837890625,16.0,24.581,25,2.0,13.0,0.6,30.0,12_1344000_726750000_2133000000,47.60308837890625,16.0,24.581,2.0,1.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,25.174,3.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,True,0.0464747676849365,0.5798081010182699,1.3942430305480955,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0
12_1344000_726750000_2133000000,47.60308837890625,16.0,24.581,26,2.0,12.0,0.6,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,25.174,3.0,1.0,12_1958400_522750000_3199000000,52.76372909545898,16.0,26.898,2.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,25.174,3.0,True,0.0527637290954589,0.5860970624287923,1.5829118728637692,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0
8_1344000_726750000_3199000000,46.913007736206055,16.0,26.679,27,3.0,13.0,0.6,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,25.174,3.0,1.0,12_1958400_522750000_3199000000,52.76372909545898,16.0,26.898,2.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,25.174,3.0,True,0.0527637290954589,0.5860970624287923,1.5829118728637692,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0
